udi,product_id,machine_type,factory_section,shift,air_temperature_K,process_temperature_K,temperature_difference,humidity_percent,rotational_speed_rpm,torque_Nm,pressure_bar,tool_wear_min,vibration_level,operational_hours,energy_consumption_kwh,maintenance_history,stress_score,machine_failure,failure_type
23,M14882,M,Assembly,Night,298.9,309.3,10.400000000000034,39,1581,30.7,8.77,,24.0,23.3,72.37,Good,48.536699999999996,0,No Failure
24,L47203,L,Assembly,Morning,299.0,309.4,10.399999999999977,86,1758,25.7,9.31,,36.0,23.59,58.39,Average,45.1806,0,No Failure
25,M14884,M,Assembly,Night,299.0,309.4,10.399999999999977,86,1561,37.3,5.19,,34.0,23.89,50.21,Poor,58.2253,0,No Failure
26,L47205,L,Packaging,Morning,299.0,309.5,10.5,71,1861,23.3,5.33,,35.0,24.19,56.53,Good,43.3613,0,No Failure
27,L47206,L,Packaging,Night,299.1,309.5,10.399999999999977,86,1512,39.0,9.27,,36.0,24.48,124.45,Good,58.968,0,No Failure
28,H29441,H,Packaging,Evening,299.1,309.4,10.299999999999955,75,1811,24.6,6.28,,37.0,24.78,140.8,Good,44.5506,0,No Failure
29,L47208,L,Testing,Evening,299.1,309.4,10.299999999999955,79,1439,44.2,1.3,,38.0,25.08,72.66,Good,63.6038,0,No Failure
30,L47209,L,Production,Morning,299.0,309.4,10.399999999999977,88,1693,30.1,9.21,,39.0,25.38,137.79,Average,50.959300000000006,0,No Failure
31,M14890,M,Production,Night,299.1,309.5,10.399999999999977,27,1339,48.2,3.23,,40.0,25.67,61.79,Good,64.5398,0,No Failure
32,L47211,L,Cooling,Evening,299.0,309.4,10.399999999999977,75,1798,25.5,6.2,,34.56129032,25.97,81.94,Average,45.849,0,No Failure
33,L47212,L,Packaging,Morning,299.0,309.4,10.399999999999977,31,1419,48.3,2.49,,34.27983871,26.27,49.38,Good,68.5377,0,No Failure
34,L47213,L,Testing,Morning,298.9,309.3,10.400000000000034,45,1665,32.5,1.3,,33.9983871,26.56,103.26,Good,54.1125,0,No Failure
35,M14894,M,Testing,Evening,298.8,309.1,10.300000000000011,63,1559,34.7,3.8,,33.71693548,26.86,147.27,Good,54.097300000000004,0,No Failure
36,M14895,M,Production,Evening,298.8,309.2,10.399999999999977,42,1452,48.6,8.02,,33.43548387,27.16,98.45,Good,70.5672,0,No Failure
37,M14896,M,Packaging,Morning,298.9,309.2,10.300000000000011,28,1581,36.7,3.5,,33.15403226,27.45,66.52,Good,58.02270000000001,0,No Failure
38,L47217,L,Cooling,Night,298.8,309.1,10.300000000000011,84,1439,39.2,2.98,,32.87258065,27.75,104.22,Good,56.4088,0,No Failure
39,H29452,H,Packaging,Night,298.9,309.2,10.300000000000011,38,1379,50.7,2.91,,32.59112903,28.05,35.98,Average,69.9153,0,No Failure
40,L47219,L,Assembly,Night,298.8,309.1,10.300000000000011,33,1350,52.5,5.64,,32.30967742,28.35,135.53,Good,70.875,0,No Failure
41,L47220,L,Packaging,Morning,298.8,309.1,10.300000000000011,77,1362,45.4,9.78,,32.02822581,28.64,85.4,Poor,61.834799999999994,0,No Failure
42,L47221,L,Assembly,Evening,298.8,309.1,10.300000000000011,26,1368,50.8,5.13,,31.74677419,28.94,78.42,Good,69.4944,0,No Failure
43,M14902,M,Assembly,Morning,298.8,309.1,10.300000000000011,84,1368,49.1,6.02,,31.46532258,29.24,96.16,Average,67.1688,0,No Failure
44,H29457,H,Cooling,Evening,298.8,309.2,10.399999999999977,68,1372,48.5,8.75,,31.18387097,29.53,101.22,Average,66.542,0,No Failure
45,M14904,M,Production,Night,298.8,309.1,10.300000000000011,32,1472,47.5,5.82,,30.90241935,29.83,29.33,Average,69.92,0,No Failure
46,L47225,L,Packaging,Night,298.8,309.1,10.300000000000011,71,1489,49.1,2.66,,30.62096774,30.13,108.74,Average,73.10990000000001,0,No Failure
47,M14906,M,Assembly,Evening,298.7,309.0,10.300000000000011,59,1843,25.8,3.7,,30.33951613,30.42,51.45,Average,47.5494,0,No Failure
48,L47227,L,Packaging,Evening,298.8,309.1,10.300000000000011,60,1418,46.3,3.79,,30.05806452,30.72,112.81,Average,65.65339999999999,0,No Failure
49,H29462,H,Production,Morning,298.8,309.2,10.399999999999977,74,1425,53.9,4.58,,29.7766129,31.02,126.93,Average,76.8075,0,No Failure
50,M14909,M,Production,Night,298.9,309.2,10.300000000000011,28,1412,44.1,4.84,,29.49516129,31.32,124.51,Average,62.269200000000005,0,No Failure
51,L47230,L,Testing,Morning,298.9,309.1,10.200000000000045,26,2861,4.6,8.2,,29.21370968,48.0,91.83,Good,13.160599999999999,1,Power Failure
52,L47231,L,Production,Morning,298.9,309.1,10.200000000000045,30,1383,54.9,4.14,,28.93225806,24.0,87.62,Good,75.9267,0,No Failure
53,H29466,H,Cooling,Morning,298.8,309.0,10.199999999999989,78,1497,43.8,5.21,,28.65080645,20.0,38.57,Average,65.56859999999999,0,No Failure
54,L47233,L,Assembly,Night,298.7,309.0,10.300000000000011,28,1565,35.1,6.62,,28.36935484,22.0,120.79,Average,54.9315,0,No Failure
55,L47234,L,Testing,Morning,298.7,309.0,10.300000000000011,78,1691,30.1,4.4,,28.08790323,14.0,55.28,Average,50.899100000000004,0,No Failure
56,L47235,L,Cooling,Morning,298.8,309.1,10.300000000000011,87,1512,40.7,8.53,,27.80645161,15.0,84.57,Average,61.5384,0,No Failure
57,L47236,L,Packaging,Morning,298.8,309.1,10.300000000000011,42,1477,42.4,6.29,,27.525,58.0,56.96,Poor,62.62479999999999,0,No Failure
58,L47237,L,Assembly,Morning,298.8,309.1,10.300000000000011,68,1513,40.3,3.65,,27.24354839,22.0,37.4,Good,60.97389999999999,0,No Failure
59,M14918,M,Production,Morning,298.8,309.0,10.199999999999989,58,1661,29.5,7.43,,26.96209677,36.0,101.84,Good,48.9995,0,No Failure
60,L47239,L,Assembly,Morning,298.8,309.1,10.300000000000011,86,1378,54.4,5.75,,26.68064516,14.0,27.06,Good,74.9632,0,No Failure
61,L47240,L,Packaging,Night,298.8,309.1,10.300000000000011,38,1393,52.6,5.81,,26.39919355,21.0,117.32,Good,73.2718,0,No Failure
62,M14921,M,Testing,Morning,298.8,309.0,10.199999999999989,72,1592,38.2,5.33,,26.11774194,26.87,61.29,Average,60.8144,0,No Failure
63,L47242,L,Testing,Evening,298.8,309.0,10.199999999999989,39,1829,22.9,5.47,,25.83629032,27.28,20.02,Good,41.8841,0,No Failure
64,M14923,M,Testing,Morning,298.9,309.0,10.100000000000023,86,1812,25.9,7.89,,25.55483871,27.69,86.45,Average,46.9308,0,No Failure
65,L47244,L,Production,Morning,299.0,309.1,10.100000000000023,64,1523,38.6,1.93,,25.2733871,28.1,26.09,Good,58.787800000000004,0,No Failure
66,L47245,L,Cooling,Night,299.0,309.1,10.100000000000023,77,1394,45.1,4.01,,24.99193548,28.52,55.9,Average,62.8694,0,No Failure
67,M14926,M,Cooling,Night,298.9,308.9,10.0,48,1679,28.7,1.68,,24.71048387,28.93,111.91,Average,48.18729999999999,0,No Failure
68,H29481,H,Assembly,Evening,298.8,308.9,10.099999999999966,50,1466,44.1,7.78,,24.42903226,29.34,28.15,Good,64.6506,0,No Failure
69,L47248,L,Production,Evening,298.8,308.9,10.099999999999966,84,1527,32.4,3.45,,24.14758065,29.75,129.11,Average,49.474799999999995,0,No Failure
70,L47249,L,Testing,Night,298.9,309.0,10.100000000000023,65,1410,65.7,9.08,,42.0,47.0,20.5,Good,92.637,1,Power Failure
71,M14930,M,Testing,Night,298.9,309.0,10.100000000000023,53,1924,22.6,5.74,,52.0,30.58,52.09,Good,43.4824,0,No Failure
72,L47251,L,Packaging,Morning,298.9,309.1,10.200000000000045,39,1452,45.5,8.21,,44.0,30.99,116.32,Good,66.066,0,No Failure
73,L47252,L,Packaging,Night,298.9,309.1,10.200000000000045,69,1369,44.4,9.81,,52.0,31.4,61.12,Good,60.7836,0,No Failure
74,L47253,L,Testing,Evening,299.0,309.1,10.100000000000023,89,1592,35.0,8.56,,44.0,55.0,33.25,Good,55.72,1,Tool Wear Failure
75,L47254,L,Testing,Morning,298.9,309.0,10.100000000000023,33,1601,32.3,8.8,,35.0,57.0,66.83,Average,51.7123,1,Tool Wear Failure
76,L47255,L,Production,Evening,298.8,308.9,10.099999999999966,25,1379,46.7,4.67,,36.0,84.0,55.15,Average,64.3993,1,Tool Wear Failure
77,L47256,L,Cooling,Morning,298.8,308.9,10.099999999999966,32,1461,47.9,5.97,,33.0,47.0,129.55,Average,69.9819,1,Tool Wear Failure
78,L47257,L,Packaging,Night,298.8,308.9,10.099999999999966,87,1455,41.3,3.28,,23.0,56.0,60.74,Good,60.09149999999999,1,Tool Wear Failure
79,L47258,L,Cooling,Evening,298.8,308.9,10.099999999999966,35,1398,51.5,2.77,,45.0,96.0,122.56,Average,71.997,1,Tool Wear Failure
80,L47259,L,Production,Morning,298.8,308.9,10.099999999999966,32,1402,37.9,5.55,,55.0,55.0,135.94,Good,53.135799999999996,1,Tool Wear Failure
81,H29494,H,Testing,Morning,298.8,308.8,10.0,59,1445,49.9,6.36,,45.0,24.0,76.4,Good,72.1055,0,No Failure
82,L47261,L,Cooling,Night,298.9,308.9,10.0,59,1450,47.5,4.05,,34.0,22.0,138.29,Poor,68.875,0,No Failure
83,L47262,L,Testing,Night,298.9,308.9,10.0,57,1453,40.8,6.12,,34.0,15.0,69.05,Good,59.282399999999996,0,No Failure
84,L47263,L,Testing,Night,299.0,309.0,10.0,29,1469,40.1,8.99,,23.0,15.0,145.33,Average,58.9069,0,No Failure
85,L47264,L,Assembly,Evening,298.9,308.9,10.0,65,1422,47.6,6.01,,42.0,11.0,31.61,Average,67.68719999999999,0,No Failure
86,M14945,M,Cooling,Morning,299.0,309.0,10.0,52,1804,26.8,7.49,,54.0,10.0,109.31,Good,48.3472,0,No Failure
87,H29500,H,Cooling,Night,299.0,309.0,10.0,31,1436,43.9,8.25,,55.0,14.0,84.2,Good,63.0404,0,No Failure
88,L47267,L,Testing,Evening,299.0,309.0,10.0,36,1544,31.8,9.9,,54.0,25.0,70.39,Good,49.0992,0,No Failure
89,M14948,M,Production,Evening,299.0,309.0,10.0,58,1419,45.2,6.43,,34.0,22.0,102.25,Poor,64.1388,0,No Failure
90,M14949,M,Assembly,Evening,298.9,308.9,10.0,57,1487,39.5,8.26,,33.0,27.0,111.5,Good,58.7365,0,No Failure
91,L47270,L,Testing,Night,298.9,308.9,10.0,72,1753,25.8,9.66,,23.0,19.0,20.57,Good,45.2274,0,No Failure
92,L47271,L,Packaging,Night,298.9,308.9,10.0,47,1830,24.9,9.5,,24.0,20.67,41.7,Good,45.567,0,No Failure
93,M14952,M,Packaging,Morning,298.9,308.9,10.0,86,1727,27.1,2.27,,36.0,21.03,112.7,Average,46.801700000000004,0,No Failure
94,L47273,L,Assembly,Morning,299.1,309.0,9.899999999999977,61,1450,43.0,4.66,,34.0,21.38,106.63,Good,62.35,0,No Failure
95,L47274,L,Production,Night,299.0,308.9,9.899999999999977,68,1622,31.9,3.92,,35.0,21.74,145.59,Good,51.7418,0,No Failure
96,M14955,M,Testing,Evening,299.0,309.0,10.0,59,1351,52.2,1.78,,36.0,22.09,118.93,Average,70.5222,0,No Failure
97,M14956,M,Cooling,Evening,299.0,309.0,10.0,89,1575,35.3,6.7,,37.0,22.45,143.6,Poor,55.59749999999999,0,No Failure
98,M14957,M,Assembly,Evening,298.9,308.9,10.0,71,1750,29.9,7.62,,38.0,22.8,111.33,Good,52.325,0,No Failure
99,L47278,L,Production,Morning,298.9,308.8,9.900000000000034,27,1529,32.7,8.63,,39.0,23.15,58.75,Good,49.9983,0,No Failure
100,L47279,L,Cooling,Evening,298.8,308.8,10.0,25,1523,44.4,2.1,,40.0,23.51,33.7,Good,67.6212,0,No Failure
101,L47280,L,Packaging,Morning,298.8,308.9,10.099999999999966,29,1852,25.0,8.89,,42.0,23.86,121.64,Average,46.3,0,No Failure
102,L47281,L,Packaging,Morning,298.8,308.8,10.0,38,1991,20.7,6.79,,52.0,24.22,103.74,Good,41.213699999999996,0,No Failure
103,L47282,L,Cooling,Evening,298.8,308.8,10.0,51,1555,40.6,7.34,,44.0,24.57,26.26,Average,63.133,0,No Failure
104,M14963,M,Assembly,Evening,298.8,308.8,10.0,33,1441,40.5,9.2,,52.0,24.93,66.81,Average,58.3605,0,No Failure
105,L47284,L,Packaging,Night,298.8,308.7,9.899999999999977,39,1450,43.4,6.62,,44.0,25.28,144.38,Average,62.93,0,No Failure
106,L47285,L,Testing,Night,298.8,308.7,9.899999999999977,66,1591,31.1,4.02,,35.0,25.64,85.05,Good,49.48010000000001,0,No Failure
107,L47286,L,Cooling,Evening,298.8,308.7,9.899999999999977,75,1445,48.5,8.43,,36.0,25.99,76.25,Poor,70.0825,0,No Failure
108,M14967,M,Cooling,Morning,298.8,308.8,10.0,87,1497,46.8,4.27,,33.0,26.35,79.5,Average,70.05959999999999,0,No Failure
109,H29522,H,Packaging,Morning,298.9,308.8,9.900000000000034,76,1621,32.7,1.31,,23.0,26.7,47.15,Average,53.0067,0,No Failure
110,L47289,L,Assembly,Morning,298.9,308.7,9.800000000000011,28,1572,34.1,8.48,,45.0,27.05,67.93,Good,53.6052,0,No Failure
111,L47290,L,Testing,Morning,298.8,308.6,9.800000000000011,47,1872,22.5,4.11,,55.0,27.41,68.08,Poor,42.12,0,No Failure
112,H29525,H,Assembly,Morning,298.7,308.6,9.900000000000034,39,1499,43.5,7.96,,45.0,27.76,26.81,Good,65.2065,0,No Failure
113,M14972,M,Production,Night,298.8,308.7,9.899999999999977,67,1498,39.5,4.26,,34.0,28.12,119.78,Good,59.171,0,No Failure
114,M14973,M,Production,Evening,298.8,308.6,9.800000000000011,53,1486,41.9,8.75,,34.0,28.47,74.15,Good,62.263400000000004,0,No Failure
115,L47294,L,Packaging,Night,298.8,308.6,9.800000000000011,60,1680,29.4,2.98,,23.0,28.83,126.88,Average,49.392,0,No Failure
116,L47295,L,Packaging,Morning,298.8,308.6,9.800000000000011,37,1431,45.7,9.77,,42.0,29.18,130.55,Good,65.39670000000001,0,No Failure
117,L47296,L,Packaging,Morning,298.9,308.7,9.800000000000011,56,1564,34.1,8.02,,54.0,29.54,47.56,Good,53.3324,0,No Failure
118,L47297,L,Production,Morning,298.8,308.6,9.800000000000011,83,1599,33.0,2.03,,55.0,29.89,105.46,Good,52.767,0,No Failure
119,M14978,M,Assembly,Morning,298.8,308.6,9.800000000000011,52,1707,28.1,6.09,,54.0,30.25,81.4,Good,47.9667,0,No Failure
120,L47299,L,Assembly,Evening,298.7,308.5,9.800000000000011,66,1467,40.7,9.87,,34.0,30.6,134.42,Average,59.706900000000005,0,No Failure
121,L47300,L,Packaging,Morning,298.9,308.7,9.800000000000011,69,1433,44.7,5.24,,33.0,30.95,48.05,Average,64.05510000000001,0,No Failure
122,L47301,L,Testing,Evening,298.9,308.7,9.800000000000011,86,1558,41.2,2.64,,23.0,31.31,108.12,Good,64.18960000000001,0,No Failure
123,L47302,L,Assembly,Morning,299.0,308.8,9.800000000000011,81,1310,50.7,5.36,,24.0,31.66,99.01,Good,66.417,0,No Failure
124,L47303,L,Production,Evening,298.9,308.7,9.800000000000011,30,1546,43.4,5.61,,36.0,32.02,58.39,Average,67.09639999999999,0,No Failure
125,L47304,L,Cooling,Night,298.9,308.7,9.800000000000011,52,1727,29.4,7.68,,34.0,32.37,37.76,Good,50.773799999999994,0,No Failure
126,L47305,L,Cooling,Morning,298.9,308.6,9.700000000000045,52,1560,32.2,7.29,,35.0,32.73,104.71,Good,50.232000000000006,0,No Failure
127,L47306,L,Cooling,Evening,299.0,308.6,9.600000000000023,68,1329,60.5,4.62,,36.0,33.08,116.02,Poor,80.4045,0,No Failure
128,L47307,L,Testing,Night,298.9,308.6,9.700000000000045,54,1413,46.5,2.96,,37.0,33.44,61.03,Average,65.7045,0,No Failure
129,L47308,L,Packaging,Morning,299.0,308.6,9.600000000000023,86,1587,38.6,6.81,,38.0,33.79,103.83,Good,61.2582,0,No Failure
130,L47309,L,Production,Morning,298.9,308.5,9.600000000000023,86,1559,34.3,4.8,,39.0,34.15,71.37,Average,53.473699999999994,0,No Failure
131,L47310,L,Testing,Morning,298.8,308.4,9.599999999999966,25,1473,41.1,2.19,,40.0,34.5,112.72,Good,60.5403,0,No Failure
132,L47311,L,Production,Evening,298.8,308.4,9.599999999999966,51,1737,27.7,9.11,,42.0,34.85,45.9,Average,48.1149,0,No Failure
133,M14992,M,Production,Evening,298.7,308.4,9.699999999999989,86,1441,43.2,7.22,,52.0,35.21,135.73,Good,62.251200000000004,0,No Failure
134,M14993,M,Packaging,Night,298.7,308.4,9.699999999999989,27,1430,49.6,7.15,,44.0,35.56,57.36,Good,70.928,0,No Failure
135,L47314,L,Cooling,Evening,298.8,308.4,9.599999999999966,51,1369,53.0,8.4,,52.0,35.92,67.81,Good,72.557,0,No Failure
136,M14995,M,Packaging,Evening,298.8,308.5,9.699999999999989,33,1711,28.5,5.77,,44.0,36.27,27.55,Poor,48.7635,0,No Failure
137,H29550,H,Testing,Morning,298.7,308.5,9.800000000000011,86,1420,45.7,8.34,,35.0,36.63,34.5,Average,64.894,0,No Failure
138,L47317,L,Testing,Morning,298.7,308.6,9.900000000000034,61,1297,55.3,5.48,,36.0,36.98,87.06,Good,71.72409999999999,0,No Failure
139,H29552,H,Testing,Morning,298.8,308.6,9.800000000000011,75,1449,49.4,1.6,,33.0,37.34,54.79,Good,71.58059999999999,0,No Failure
140,L47319,L,Packaging,Morning,298.8,308.6,9.800000000000011,68,1268,55.8,4.65,,23.0,37.69,128.61,Average,70.75439999999999,0,No Failure
141,L47320,L,Production,Morning,298.8,308.6,9.800000000000011,48,1511,36.1,5.48,,45.0,38.05,21.91,Good,54.5471,0,No Failure
142,L47321,L,Production,Morning,298.7,308.5,9.800000000000011,83,1544,35.2,7.48,,55.0,38.4,69.28,Good,54.348800000000004,0,No Failure
143,M15002,M,Assembly,Morning,298.6,308.4,9.799999999999955,56,1778,28.2,1.96,,45.0,38.75,63.85,Poor,50.1396,0,No Failure
144,H29557,H,Testing,Night,298.6,308.4,9.799999999999955,76,1407,50.5,2.26,,34.0,39.11,22.51,Good,71.0535,0,No Failure
145,M15004,M,Production,Night,298.6,308.4,9.799999999999955,86,1391,42.4,3.37,,34.0,39.46,36.17,Average,58.9784,0,No Failure
146,L47325,L,Assembly,Night,298.5,308.4,9.899999999999977,82,1513,33.6,3.4,,23.0,39.82,73.77,Poor,50.836800000000004,0,No Failure
147,H29560,H,Production,Night,298.5,308.4,9.899999999999977,76,1612,36.1,7.59,,42.0,40.17,84.07,Good,58.193200000000004,0,No Failure
148,L47327,L,Testing,Morning,298.4,308.4,10.0,36,1515,40.1,3.26,,54.0,40.53,72.56,Good,60.7515,0,No Failure
149,M15008,M,Cooling,Night,298.3,308.3,10.0,63,1379,48.0,6.7,,55.0,40.88,89.02,Good,66.192,0,No Failure
150,L47329,L,Testing,Morning,298.4,308.3,9.900000000000034,26,1473,39.9,5.45,,54.0,41.24,97.37,Average,58.7727,0,No Failure
151,L47330,L,Packaging,Night,298.4,308.3,9.900000000000034,27,1422,42.7,6.16,,34.0,41.59,21.29,Poor,60.7194,0,No Failure
152,M15011,M,Production,Evening,298.4,308.2,9.800000000000011,80,1463,37.6,8.54,,33.0,41.95,80.33,Average,55.0088,0,No Failure
153,M15012,M,Production,Night,298.4,308.2,9.800000000000011,83,1584,41.0,4.64,,23.0,42.3,145.25,Good,64.944,0,No Failure
154,L47333,L,Packaging,Night,298.4,308.2,9.800000000000011,26,1850,27.0,7.94,,24.0,42.65,87.47,Average,49.95,0,No Failure
155,L47334,L,Packaging,Morning,298.4,308.2,9.800000000000011,26,1528,36.2,4.8,,36.0,43.01,108.08,Poor,55.31360000000001,0,No Failure
156,H29569,H,Cooling,Night,298.4,308.2,9.800000000000011,78,1987,19.8,4.18,,34.0,43.36,60.54,Average,39.3426,0,No Failure
157,M15016,M,Production,Evening,298.4,308.1,9.700000000000045,25,1495,46.0,9.63,,35.0,43.72,120.62,Poor,68.77,0,No Failure
158,H29571,H,Production,Morning,298.4,308.2,9.800000000000011,43,1478,43.5,2.66,,36.0,44.07,120.48,Average,64.293,0,No Failure
159,M15018,M,Cooling,Morning,298.4,308.2,9.800000000000011,26,1499,40.0,1.81,,37.0,44.43,87.77,Average,59.96,0,No Failure
160,L47339,L,Assembly,Night,298.4,308.2,9.800000000000011,77,1471,47.0,7.94,,38.0,44.78,146.88,Average,69.137,0,No Failure
161,L47340,L,Cooling,Morning,298.4,308.2,9.800000000000011,68,1282,60.7,1.61,,39.0,45.14,36.32,Good,77.8174,1,Overstrain Failure
162,L47341,L,Testing,Morning,298.3,308.1,9.800000000000011,56,1412,52.3,8.53,,40.0,45.49,22.2,Good,73.84759999999999,1,Overstrain Failure
163,L47342,L,Production,Morning,298.3,308.1,9.800000000000011,56,1586,35.5,4.93,,42.0,45.85,120.12,Average,56.303,0,No Failure
164,M15023,M,Packaging,Morning,298.4,308.2,9.800000000000011,79,1468,43.8,9.24,,52.0,46.2,124.93,Good,64.2984,0,No Failure
165,M15024,M,Testing,Morning,298.5,308.3,9.800000000000011,80,1440,43.6,7.49,,44.0,46.55,35.63,Poor,62.784,0,No Failure
166,L47345,L,Production,Morning,298.5,308.4,9.899999999999977,41,1733,26.0,6.49,,52.0,46.91,54.53,Poor,45.058,0,No Failure
167,H29580,H,Cooling,Evening,298.4,308.2,9.800000000000011,62,1612,32.6,9.54,,44.0,47.26,22.28,Average,52.5512,0,No Failure
168,H29581,H,Testing,Night,298.4,308.3,9.900000000000034,48,1458,42.9,4.57,,35.0,47.62,58.13,Good,62.548199999999994,0,No Failure
169,L47348,L,Production,Evening,298.4,308.3,9.900000000000034,35,1433,62.3,9.59,,36.0,47.97,120.51,Good,89.2759,1,Power Failure
170,L47349,L,Assembly,Morning,298.4,308.3,9.900000000000034,40,1318,59.1,2.22,,33.0,48.33,87.33,Good,77.8938,0,No Failure
171,M15030,M,Assembly,Morning,298.4,308.2,9.800000000000011,83,1610,35.0,5.35,,23.0,48.68,65.25,Average,56.35,0,No Failure
172,L47351,L,Packaging,Night,298.2,308.1,9.900000000000034,27,1462,50.8,3.43,,45.0,49.04,68.33,Average,74.2696,1,Tool Wear Failure
173,M15032,M,Production,Evening,298.1,308.0,9.899999999999977,44,1924,20.8,5.86,,55.0,49.39,20.18,Poor,40.019200000000005,1,Tool Wear Failure
174,M15033,M,Assembly,Night,298.2,308.0,9.800000000000011,83,1591,33.7,2.46,,45.0,49.75,58.97,Good,53.6167,1,Tool Wear Failure
175,L47354,L,Cooling,Evening,298.2,308.1,9.900000000000034,60,1306,58.3,8.57,,34.0,50.1,104.04,Poor,76.13980000000001,0,No Failure
176,L47355,L,Production,Morning,298.2,308.1,9.900000000000034,43,1382,43.5,8.62,,34.0,50.45,146.65,Poor,60.117,0,No Failure
177,L47356,L,Cooling,Night,298.2,308.1,9.900000000000034,43,1618,34.7,9.6,,23.0,50.81,130.12,Good,56.144600000000004,0,No Failure
178,L47357,L,Cooling,Night,298.2,308.2,10.0,44,1988,21.4,2.39,,42.0,51.16,23.07,Poor,42.5432,0,No Failure
179,L47358,L,Assembly,Morning,298.2,308.2,10.0,76,1436,50.2,6.61,,54.0,51.52,136.81,Good,72.0872,0,No Failure
180,L47359,L,Production,Night,298.2,308.3,10.100000000000023,57,1304,49.8,5.27,,55.0,51.87,121.82,Good,64.9392,0,No Failure
181,L47360,L,Testing,Evening,298.2,308.3,10.100000000000023,64,1475,49.9,4.1,,54.0,52.23,121.45,Average,73.6025,0,No Failure
182,H29595,H,Assembly,Evening,298.2,308.3,10.100000000000023,63,1824,24.2,4.16,,34.0,52.58,79.54,Good,44.1408,0,No Failure
183,M15042,M,Assembly,Evening,298.1,308.2,10.099999999999966,25,1342,48.1,4.72,,33.0,52.94,71.74,Average,64.5502,0,No Failure
184,L47363,L,Production,Evening,298.1,308.2,10.099999999999966,35,1485,40.7,7.34,,23.0,53.29,59.38,Average,60.43950000000001,0,No Failure
185,L47364,L,Production,Morning,298.2,308.2,10.0,81,1667,30.6,6.38,,24.0,53.65,28.54,Average,51.010200000000005,0,No Failure
186,L47365,L,Cooling,Night,298.2,308.2,10.0,74,1446,38.2,5.14,,36.0,54.0,49.67,Good,55.2372,0,No Failure
